UNITID,EN2010,EN2011
107044,4568,7740
107044,2830,4653
107071,4463,3087
107071,3559,4432
107071,904,3753
107080,1483,679
107080,1476,1501
107080,7,1488
107099,115,13
107099,115,99
107123,72,99
107123,72,57
107141,2431,57
107141,1933,2390
107141,498,1856
107211,38,534
107211,38,39
107220,608,39
107220,608,539
107275,37,539
107275,37,23
107293,128,23
107293,128,106
107318,3806,106
107318,3806,3544
107327,3168,3544
107327,3168,3040
107363,102,3040
107363,102,92
107442,107,92
107442,107,113
107460,3221,113
107460,3221,3220
107488,317,3220
107488,317,367
107512,1528,367
107512,1528,1581
107521,2081,1581
107521,2081,1992
107549,1892,1992
107549,1892,2165
107558,659,2165
107558,659,656
107585,3288,656
107585,3288,3287
107600,736,3287
107600,736,743
107619,3020,743
107619,3020,2895
107637,4072,2895
107637,4072,3101
107655,56,3101
107655,56,104
107664,15185,104
107664,15185,15861
107725,2229,15861
107725,2229,2172
107743,1595,2172
107743,1595,1369
107789,129,1369
107789,129,171
107831,175,171
107831,175,116
107877,709,116
107877,709,714
107974,2587,714
107974,2587,2503
107983,3918,2503
107983,3247,4008
107983,671,3343
107992,3751,665
107992,3751,3849
108065,29,3849
108065,29,21
108092,9086,21
108092,9086,9389
108199,16407,9389
108199,16407,16401
108232,21049,16401
108232,14917,22236
108232,6132,15415
108250,1533,6821
108250,1533,1264
108269,122,1264
108269,122,133
108348,94,133
108348,94,96
108649,308,96
108649,308,173
108667,12736,173
108667,12736,11642
108807,17967,11642
108807,17967,19552
108852,208,19552
108852,208,220
108861,94,220
108861,94,86
108870,338,86
108870,338,356
108977,50,356
108977,50,60
109013,93,60
109013,93,3675
109040,2136,3675
109040,2136,80
109086,135,51
109086,100,29
109086,35,54155
109208,55644,54155
109208,55644,684
109332,1006,684
109332,1006,19052
109350,20654,19052
109350,20654,2256
109651,2135,2056
109651,1957,200
109651,178,957
109721,1063,957
109721,1063,231
109730,126,231
109730,126,11474
109785,10558,6254
109785,5358,5220
109785,5200,27426
109819,28131,27426
109819,28131,30
109891,33,30
109891,33,5193
109907,8411,5193
109907,8411,326
109934,377,326
109934,377,378
110051,604,237
110051,492,141
110051,112,6758
110060,303,4504
110060,185,2254
110060,118,1215
110097,6658,1158
110097,4385,57
110097,2273,354
110185,1420,354
110185,1364,1535
110185,56,1535
110194,379,17877
110194,379,17877
110219,1111,316
110219,1111,316
110246,18435,1603
110246,18435,134
110307,336,1469
110307,336,20424
110316,1483,20424
110316,124,5822
110316,1359,4443
110334,21877,1379
110334,21877,2061
110361,4934,1587
110361,3711,474
110361,1223,1321
110370,1843,1321
110370,1417,2274
110370,426,1008
110398,1376,1266
110398,1376,4812
110404,2244,2917
110404,982,1895
110404,1262,19077
110413,4477,17736
110413,2613,1341
110413,1864,4517
110422,20194,347
110422,18864,4170
110422,1330,9456
110468,4656,7812
110468,205,1644
110468,4451,9411
110486,9576,7786
110486,7668,1625
110486,1908,19065
110495,9034,15947
110495,7314,3118
110495,1720,22770
110510,19729,20345
110510,16049,2425
110510,3680,16912
110529,23217,15531
110529,20757,1381
110529,2460,15909
110538,17892,12474
110538,16408,3435
110538,1484,22285
110547,15924,18878
110547,12191,3407
110547,3733,39521
110556,21755,33248
110556,18429,6273
110556,3326,15357
110565,38551,12327
110565,32621,3030
110565,5930,37602
110574,16879,30931
110574,13157,6671
110574,3722,22830
110583,37291,17889
110583,30589,4941
110583,6702,37832
110592,23515,31896
110592,18007,5936
110592,5508,30362
110608,38028,26333
110608,31362,4029
110608,6666,39175
110617,30873,28437
110617,25941,10738
110617,4932,33786
110635,38970,26833
110635,28257,6953
110635,10713,29200
110644,33513,23688
110644,26681,5512
110644,6832,40863
110653,29237,28379
110653,23806,12484
110653,5431,22067
110662,41488,19441
110662,29055,2626
110662,12433,31089
110671,20895,25324
110671,18298,5765
110671,2597,3080
110680,30797,3080
110680,25226,24078
110680,5571,20795
110699,3166,3283
110699,3166,18412
110705,24702,16729
110705,21405,1683
110705,3297,604
110714,18296,604
110714,16625,171
110714,1671,171
110778,550,26
110778,550,26
110875,138,2224
110875,138,2224
110918,30,1271
110918,30,1271
110945,1929,380
110945,1929,380
111009,1326,1491
111009,1326,919
111054,229,572
111054,229,870
111081,1415,870
111081,906,1026
111081,509,1026
111188,836,10762
111188,836,10762
111391,1036,33263
111391,1036,33263
111434,11597,326
111434,11597,326
111461,35691,1006
111461,35691,1006
111513,379,472
111513,379,472
111638,847,1129
111638,847,1129
111708,442,502
111708,442,502
111717,1067,381
111717,1067,381
111726,530,256
111726,530,256
111744,344,351
111744,344,351
111762,222,176
111762,222,176
111771,351,28810
111771,351,28810
111799,345,11427
111799,345,11427
111887,31480,21214
111887,31480,21214
111896,11166,25455
111896,11166,25455
111920,23010,7706
111920,23010,5440
111939,29057,2266
111939,29057,337
111948,6933,164
111948,4838,173
111948,2095,3916
111966,304,1717
111966,267,2199
111966,37,602
112075,3491,578
112075,1563,24
112075,1928,93
112084,484,93
112084,460,17293
112084,24,17293
112127,96,46543
112127,96,46543
112172,17335,2503
112172,17335,2503
112190,49181,1289
112190,49181,1272
112251,2517,17
112251,2517,592
112260,1268,592
112260,1248,343
112260,20,83
112288,595,260
112288,595,1918
112312,411,1918
112312,75,18477
112312,336,18477
112367,2586,293
112367,2586,293
112385,18520,1097
112385,18520,942
112394,241,155
112394,241,163
112446,979,163
112446,833,3037
112446,146,3037
112455,136,5224
112455,136,5224
112525,2781,412
112525,2781,412
112561,6244,16127
112561,6244,16127
112570,412,740
112570,412,740
112686,12776,12468
112686,12776,12468
112783,1083,22825
112783,1083,22825
112826,13037,8379
112826,13037,8379
113096,24049,15033
113096,24049,15033
113111,8529,14897
113111,8529,14897
113193,17077,314
113193,17077,314
113218,15432,21655
113218,15432,21655
113227,291,38281
113227,291,38281
113236,22320,1031
113236,22320,1031
113333,40906,466
113333,40906,466
113397,776,46
113397,776,33
113449,295,13
113449,295,12549
113537,44,12549
113537,27,339
113537,17,339
113573,13154,15081
113573,13154,15081
113582,393,32207
113582,393,32207
113607,16554,2495
113607,13765,1702
113607,2789,793
113634,34423,95
113634,34423,95
113698,2370,54962
113698,1575,54962
113698,795,1363
113704,90,1363
113704,90,8711
113856,60651,8711
113856,60651,35392
113908,1189,35392
113908,1189,126
113953,8821,126
113953,8821,276
113980,39717,276
113980,39717,875
114044,120,875
114044,120,754
114062,308,754
114062,308,226
114071,700,226
114071,700,937
114080,636,937
114080,636,15419
114114,209,15419
114114,209,5793
114123,923,5793
114123,923,169
114266,18333,169
114266,18333,1228
114354,5925,1228
114354,5925,497
114372,182,497
114372,182,3041
114390,1217,3041
114390,1217,400
114415,599,400
114415,599,1943
114433,3805,1943
114433,3805,471
114460,397,471
114460,397,189
114549,2176,189
114549,2176,30120
114585,357,30120
114585,357,69
114628,158,69
114628,158,126
114716,33129,126
114716,33129,32524
114734,68,32524
114734,68,5027
114761,125,3617
114761,125,1410
114789,35400,4414
114789,35400,4414
114813,4317,31415
114813,3049,31415
114813,1268,195
114840,4470,195
114840,4470,12835
114859,32480,12835
114859,32480,7379
114895,217,7379
114895,217,22282
114938,16491,22282
114938,16491,499
114947,3870,499
114947,3870,5002
115001,24604,616
115001,24604,4386
115010,411,19785
115010,411,19785
115083,4956,282
115083,597,282
115083,4359,28040
115126,20800,28040
115126,20800,82
115214,262,82
115214,262,14412
115296,31099,14412
115296,31099,823
115357,56,823
115357,56,2347
115393,16837,2347
115393,16837,3366
115409,768,3366
115409,768,2689
115454,1888,2689
115454,1888,2477
115472,2623,2477
115472,2623,2477
115490,2309,2477
115490,2309,264
115515,2074,264
115515,2074,1448
115533,2467,870
115533,2467,578
115658,258,911
115658,258,911
115728,1383,8446
115728,802,7750
115728,581,696
115746,722,1638
115746,722,1360
115755,8237,278
115755,7541,11579
115755,696,11579
115773,1291,895
115773,1095,895
115773,196,1636
115861,11346,1636
115861,11346,530
115931,906,521
115931,906,9
116040,1762,371
116040,1762,371
116226,510,23330
116226,510,23330
116350,149,2770
116350,149,2770
116439,24004,1220
116439,24004,1220
116466,2616,1716
116466,2616,1716
116475,1703,154
116475,1703,154
116484,1997,1799
116484,1997,358
116563,192,1441
116563,192,251
116624,156,135
116624,156,116
116712,2039,20871
116712,336,20871
116712,1703,648
116846,257,648
116846,118,2824
116846,139,2824
117052,21586,10304
117052,21586,5528
117104,602,4776
117104,602,527
117113,2876,483
117113,2876,44
117140,9733,5785
117140,5029,5785
117140,4704,195
117168,444,195
117168,407,20881
117168,37,20881
117195,6492,6071
117195,6492,6071
117238,219,410
117238,219,410
117247,22589,524
117247,22589,146
117274,4893,378
117274,4893,271
117520,449,105
117520,449,166
117557,662,2824
117557,201,2051
117557,461,773
117575,250,5130
117575,91,1403
117575,159,3727
117627,2595,35722
117627,1786,35722
117627,809,1190
117636,5014,641
117636,1439,549
117636,3575,15515
117645,39919,15515
117645,39919,30280
117672,534,30280
117672,534,11299
117690,15232,11299
117690,15232,23287
117706,32042,23287
117706,32042,29543
117715,12253,29543
117715,12253,1780
117724,24777,1184
117724,24777,596
117733,29681,31261
117733,29681,31261
117751,1669,354
117751,1107,354
117751,562,16115
117788,31134,16115
117788,31134,14574
117803,394,14574
117803,394,2161
117867,16660,2145
117867,16660,16
117894,16606,9752
117894,16606,6232
117928,2092,3520
117928,2075,331
117928,17,331
117946,9934,187
117946,6195,187
117946,3739,110
117955,263,110
117955,263,166
118116,181,166
118116,181,122
118125,149,122
118125,149,191
118134,262,191
118134,262,207
118143,114,207
118143,114,929
118161,182,929
118161,182,963
118189,235,963
118189,235,2110
118198,912,2110
118198,912,1828
118259,1211,1828
118259,1211,11139
118277,2189,11139
118277,2189,4439
118286,2073,4439
118286,2073,885
118347,11111,885
118347,11111,7015
118356,3973,7015
118356,3973,684
118541,662,684
118541,662,15155
118684,7378,15155
118684,7378,10895
118693,704,10895
118693,704,1676
118709,166,1021
118709,166,655
118718,14960,22363
118718,14960,22363
118772,12402,756
118772,12402,756
118888,1635,16522
118888,1008,16522
118888,627,90
118912,21160,90
118912,21160,1741
118921,642,1741
118921,642,24009
118930,17615,24009
118930,17615,46
118958,90,46
118958,90,894
118967,1898,13
118967,1898,881
118976,24941,18209
118976,24941,18209
118994,51,22840
118994,51,22840
119058,947,37922
119058,12,37922
119058,935,3175
119067,16602,2492
119067,16602,683
119137,25058,24497
119137,25058,24497
119164,38741,418
119164,38741,418
119173,2954,2395
119173,2346,2395
119173,608,8975
119216,23960,8975
119216,23960,839
119234,269,839
119234,269,1484
119270,2308,1484
119270,2308,672
119331,10674,672
119331,10674,871
119340,1090,871
119340,1090,1404
119359,1828,1404
119359,1828,1129
119368,1121,1129
119368,1121,1540
119438,1101,1540
119438,1101,798
119456,1680,546
119456,1680,252
119465,1329,837
119465,1329,837
119508,2144,27820
119508,2144,11886
119544,736,15934
119544,478,4382
119544,258,4382
119553,759,711
119553,759,439
119605,27332,272
119605,9739,316
119605,17593,316
119678,3854,589
119678,3854,589
119775,715,379
119775,432,379
119775,283,641
119845,335,641
119845,335,252
119951,581,252
119951,581,1395
120069,502,302
120069,502,1093
120078,888,2203
120078,888,1186
120087,273,1017
120087,273,2174
120166,1503,2154
120166,282,20
120166,1221,177
120184,2014,177
120184,1049,17973
120184,965,17973
120254,2064,30841
120254,2034,30841
120254,30,1298
120272,196,1197
120272,196,101
120290,17499,10993
120290,17499,10993
120342,33303,1587
120342,33303,1023
120403,1299,564
120403,1197,797
120403,102,797
120421,13385,714
120421,13385,114
120537,1289,600
120537,850,144
120537,439,144
120661,959,665
120661,959,180
120698,574,485
120698,66,213
120698,508,213
120740,173,332
120740,173,25
120768,715,307
120768,131,1962
120768,584,1951
120795,213,11
120795,213,7310
120838,241,4020
120838,59,3290
120838,182,5745
120865,1680,5745
120865,1649,39116
120865,31,39116
120883,6974,347
120883,3710,347
120883,3264,177
120944,361,177
120944,361,35756
120953,5622,35756
120953,5622,1164
120971,40897,1096
120971,40897,68
121008,374,8201
121008,374,3617
121017,489,4584
121017,489,1110
121044,37652,1110
121044,37652,380
121071,1429,380
121071,1350,4330
121071,79,2510
121150,8476,1820
121150,3639,1579
121150,4837,1579
121257,1069,6017
121257,1069,6017
121275,323,1194
121275,323,1194
121309,4230,250
121309,2490,250
121309,1740,48363
121345,1570,48363
121345,1570,122
121363,6553,122
121363,6553,100
121381,1349,100
121381,1349,5964
121433,231,3704
121433,231,2260
121619,48552,9467
121619,48552,9467
121628,115,258
121628,115,258
121637,79,151
121637,79,151
121691,5301,351
