UNITID,F1A13_10,F1A18_10,F1B25_10,F1A13_11,F1A18_11,F1B25_11
107521,2133219,3836707,12823410,3232388,3648858,12497121
107549,3897531,9606742,12416994,3861735,10236402,13823915
107558,,,,,,
107585,4306994,14154284,17664071,4807789,14749202,19741616
107600,,,,,,
107619,14697282,14537767,26275951,14160670,18780581,26629521
107637,3033282,24409091,18231971,3594994,24452986,19531575
107655,,,,,,
107664,52118590,35329083,66654566,50918430,39821099,74635665
107725,7747809,10029893,14536823,7330181,11352975,16031267
107743,1843781,12762489,14023919,1887400,12020974,10460906
107789,,,,,,
107831,,,,,,
107877,,,,,,
107974,6042816,21745884,18354980,5041423,22619506,19456838
107983,43250484,40406447,47134548,48872813,42231946,49762404
107992,1777440,18507498,21150280,2370139,20887835,20831117
108056,14783824,26652575,140383880,19566445,31249743,144314963
108065,,,,,,
108092,85605149,80046381,72266392,92040482,80296847,78944837
108199,,,,,,
108232,,,,,,
108250,,,,,,
108269,,,,,,
108348,,,,,,
108649,,,,,,
108667,,,30804721,,,41221829
108807,108016647,86281047,79738634,105885915,95344840,84543428
108852,,,,,,
108861,,,,,,
108870,,,,,,
108977,,,,,,
109040,,,,,,
109086,,,,,,
109208,,,175318384,,,173626363
109332,,,,,,
109350,175640159,43835185,100181694,191862963,54019270,149017313
109651,,,,,,
109721,,,,,,
109730,,,,,,
109785,,,,,,
109819,337348702,173033918,136826550,336365837,171552684,138018636
109891,,,,,,
109907,1889233,32168153,25466613,3311461,44982537,41207642
109934,,,,,,
110051,,,,,,
110060,,,,,,
110097,,,,,,
110185,,,,,,
110194,,,,,,
110219,,,,,,
110246,106607929,146697271,125360947,120157418,147648736,126617800
110307,,,,,,
110316,,,,,,
110334,210282208,90921923,123788248,211066990,101465425,118068840
110361,,,,,,
110370,,,,,,
110398,48684228,131225185,57177956,47138283,143669146,64236079
110404,,,,,,
110413,,,,,,
110422,514558442,381037424,329425756,519321692,477619138,444730472
110468,,,,,,
110486,44639873,109239083,125858532,44863127,117426823,128306285
110495,59768014,120221272,125727969,58073643,127019755,131057476
110501,1131674406,-118911947,257747681,1287637737,-492478582,117835439
110510,164000938,296778099,270656167,157196562,296149215,245814632
110529,225631127,351661472,326880124,233879778,366262566,293680127
110538,195981328,205054572,235174941,187969681,216308849,238191878
110547,63406558,176768191,169683174,60292775,186189852,172081649
110556,130706709,288585535,316879959,132541131,270790433,290842189
110565,441894549,412587195,410717121,430149125,426816787,446151979
110574,164690170,153055811,203645811,157365684,169828099,207798835
110583,235704489,457920181,391424924,223322177,471915212,438395834
110592,129271882,295596442,261492604,124808452,306627430,268725458
110608,251523302,451006348,451094431,260304989,484773955,472008143
110617,306030581,263178223,372189928,296086762,279773873,375735550
110635,,,2198283282,,,2537770556
110644,,,3066633213,,,3313186463
110653,,,1963044618,,,2155187525
110662,,,4939154616,,,5235134984
110671,,,639684930,,,699314457
110680,,,3047899921,,,3415352861
110699,,,3719284000,,,4388584000
110705,,,851279681,,,857089062
110714,,,625740235,,,727105284
110778,,,,,,
110875,,,,,,
110918,,,,,,
110945,,,,,,
111009,,,,,,
111054,,,,,,
111081,,,,,,
111188,22771398,63804667,39890171,22471696,66873159,42440948
111391,,,,,,
111434,130177017,31415817,30440927,129862434,25431372,35225564
111461,223577309,80564838,114176382,221106601,80715936,128073961
111513,,,,,,
111638,,,,,,
111708,,,,,,
111717,,,,,,
111726,,,,,,
111744,,,,,,
111762,,,,,,
111771,,,,,,
111799,,,,,,
111887,139706032,76168379,148295565,161843640,70977346,156010324
111896,,,34199015,,,34675688
111920,356383818,63811901,99223659,372699837,49669964,108383487
111939,201602501,168771830,150280056,195278239,176591895,161415718
111948,,,,,,
111966,,,,,,
112075,,,,,,
112084,,,,,,
112127,,,,,,
112172,98423231,74650291,99955152,93836022,69933426,99267673
112190,486670766,172410103,360627431,492918657,183686035,367204662
112251,,,,,,
112260,,,,,,
112288,,,,,,
112312,,,,,,
112367,,,7009729,,,7793106
112376,36787953,14500529,28042475,37587101,13486222,27742648
112385,64611880,25517940,49279352,66052230,23699489,48752465
112394,,,,,,
112446,,,,,,
112455,,,,,,
112525,,,,,,
112561,,,7821556,,,7877645
112570,,,,,,
112686,84556483,26557197,40986512,84716956,26983355,43456757
112783,,,,,,
112817,327489062,188369691,30567048,315144125,189476017,31383274
112826,,,50015564,,,53514773
113096,,,74748978,,,76329107
113111,,,50974315,,,51853690
113193,49624878,96568858,77260720,50299191,102305365,83430353
113218,,,48876629,,,49808720
113227,,,,,,
113236,,,110034273,,,100387604
113333,,,,,,
113397,,,,,,
113449,,,,,,
113537,,,,,,
